!	738983
1950	9727
1950s	27491
1951	8141
1952	7523
1953	9527
1954	8410
1955	8708
1956	10192
1957	9223
1958	10481
1959	9956
196	1723
1960	13055
1960s	38421
1961	11233
1962	12413
1963	13695
1964	14596
1965	13142
1966	15955
1967	19110
1968	20358
1969	16412
197	1699
1970	18871
1970s	47407
1971	16210
1972	18549
1973	17940
1974	20212
1975	18928
1976	18562
1977	17027
1978	17537
1979	23837
198	1985
1980	21443
1980s	53761
1981	19951
1982	20981
1983	20487
1984	23415
1985	20296
1986	23161
1987	23243
1988	24777
1989	30117
199	2865
1990	34224
1990s	45017
1991	31359
1992	37898
1993	31395
1994	38503
1995	39187
1996	42128
1997	67906
1998	60236
1999	68241
19bn	1318
19p	855
19th	37530
1a	1689
1b	531
1bn	28638
1c	701
1hr	694
1m	772
1min	2071
1p	3499
1s	635
1st	12880
1tn	1434
1up	818
1xtra	1255
1½	1411
1–0	511
2	495446
2,000	38497
2,100	1058
2,200	1996
2,300	2075
2,400	1972
2,500	11710
2,600	1585
2,700	1757
2,800	1473
2,900	520
2.0	5680
2.00	2454
2.05	1575
2.1	6377
2.10	2602
2.10pm	508
2.15	1596
2.15pm	1810
2.1bn	1569
2.2	7591
2.20	2659
2.20pm	625
2.25	2694
2.25p	646
2.2bn	2143
2.3	7428
2.30	3208
2.30am	923
2.30pm	3684
2.35	1661
2.35pm	507
2.3bn	2274
2.4	7660
2.40	2917
2.40pm	598
2.45	1803
2.45pm	1081
2.49	604
2.4bn	1913
2.5	22728
2.50	4851
2.50pm	549
2.55	1513
2.5bn	4830
2.5p	1350
2.6	6633
2.6bn	1992
2.7	6701
2.75	1574
2.75p	582
2.7bn	2098
2.8	5989
2.8bn	1715
2.9	4509
2.99	1975
2.9bn	1171
20	358666
20,000	27719
20-minute	3215
20-month	573
20-odd	1086
20-yard	1362
20-year	16093
20.5	600
20/20	608
200	87436
200,000	20714
200-year	778
2000	104677
2000s	4382
2001	92422
2002	87293
2003	95359
2004	98139
2005	101453
2006	97326
2007	104338
2008	121096
2009	99424
2009/10	746
200bn	2378
200c	573
200c/400f	752
200ml	1379
200p	788
200th	1344
201	1662
2010	130935
2010/11	818
2010s	572
2011	109240
2011/12	630
2012	139689
2012/13	574
2013	103727
2013/14	567
2014	104715
2014/15	602
2015	110506
2015/16	612
2016	96903
2017	63360
2018	43959
2019	25927
202	1971
2020	37208
2020s	830
2021	5003
2022	6369
2023	2015
2024	1729
2025	4609
2026	1256
2027	701
203	1682
2030	9968
2035	913
204	1629
2040	1348
205	2042
2050	8081
206	1803
207	1807
208	1734
209	1816
20bn	6970
20p	3116
20s	14973
20th	41535
21	107322
21,000	3146
21-year	12123
21.5	794
210	3795
210,000	724
2100	1242
211	1700
212	2827
213	1838
214	1596
215	2971
216	1495
217	1550
218	1565
219	1451
21bn	1107
21p	729
21st	36875
22	112666
22,000	3637
22-year	11026
22.5	1052
22.50	537
220	6096
220,000	1561
221	1708
222	2066
223	1477
224	1687
225	4735
225,000	779
226	2464
227	1596
228	1945
229	1737
22bn	1509
22nd	4645
22p	813
23	98196
23,000	3062
23-man	703
23-year	10536
23.05.2001	509
23.5	813
230	5522
230,000	1336
231	1424
232	1606
233	1384
2332	9543
234	1381
235	2047
236	1657
237	1442
238	1450
239	1867
23bn	1159
23p	739
23rd	4718
23skidoo	837
24	135485
24,000	3193
24-hour	11396
24-year	12016
24.5	569
24.99	734
24/7	3916
240	5886
240,000	1531
241	1429
242	1746
243	1395
244	1439
245	1899
246	1490
247	1568
248	1479
249	1738
24bn	1195
24p	678
24th	4274
25	193858
25,000	14696
25-minute	694
25-yard	1691
25-year	12728
25.5	542
250	36167
250,000	15417
250bn	848
250ml	1341
250th	679
251	1227
252	1459
253	1416
254	1210
255	1609
256	1745
257	1155
258	1262
259	1361
25bn	2933
25p	1796
25th	7105
26	86354
26,000	2856
26-year	8693
26.2	582
26.5	765
260	4180
260,000	1190
261	1332
262	1143
263	1362
264	1243
265	1826
266	1132
267	1287
268	1143
269	1345
26bn	948
26p	639
26th	3758
27	87851
27,000	2528
27-year	8068
27.5	772
270	4830
270,000	1032
271	1203
272	1187
273	2404
274	1141
275	2950
275,000	806
276	1204
277	1192
278	1104
279	1127
27bn	990
27p	717
27th	3717
28	91070
28,000	2517
28-day	744
28-year	7744
28.5	611
280	3928
280,000	1061
281	1153
282	1346
283	992
284	1058
285	1748
286	1020
287	957
288	1133
289	1061
28bn	867
28p	801
28th	3673
29	73604
29,000	1323
29-year	7226
29.9	625
29.99	1256
290	2512
291	870
292	854
293	965
294	840
295	1613
296	801
297	1025
298	1106
299	1829
29p	627
29th	3590
2:1	1164
2a	1385
2bn	14269
2c	3117
2c.	550
2d	1790
2hr	701
2min	960
2mins	521
2nd	11516
2p	3112
2tn	621
2½	839
3	395125
3,000	31690
3,200	1276
3,300	994
3,400	835
3,500	6194
3,600	1547
3,700	881
3,800	874
3-d	692
3.0	1262
3.00	2538
3.05	1726
3.1	4522
3.10	2550
3.10pm	626
3.15	2260
3.15pm	1189
3.1bn	1041
3.2	5159
3.20	2483
3.20pm	600
3.25	2520
3.2bn	1617
3.3	5125
3.30	3055
3.30am	918
3.30pm	3050
3.35	1531
3.3bn	1555
3.4	4814
3.40	2630
3.40pm	630
3.45	2036
3.45pm	1030
3.4bn	1190
3.5	14381
3.50	4241
3.50pm	509
3.55	1234
3.5bn	3189
3.5p	1270
3.6	5064
3.6bn	1267
3.7	4705
3.75	1211
3.75p	554
3.7bn	1420
3.8	4504
3.8bn	1234
3.9	3462
3.95	603
3.99	2110
3.9bn	873
3/5	673
30	285170
30,000	22374
30-all	1687
30-day	1207
30-man	501
30-minute	2725
30-odd	1012
30-second	1406
30-yard	1162
30-year	11582
300	56606
300,000	15917
300-year	566
3000	2328
300bn	1068
300ml	946
300p	895
300th	675
301	1135
302	1024
303	1356
304	843
305	1230
306	974
307	967
308	947
309	990
30bn	4280
30c	797
30p	1789
30s	12176
30th	6262
31	71262
31,000	1361
31-year	5969
310	2016
311	1014
312	1036
313	948
314	871
315	1585
316	1123
317	829
318	884
319	999
31bn	545
31p	580
31st	3396
32	50546
32,000	2328
32-year	5601
32.5	941
320	3559
320,000	934
321	928
322	1048
323	1123
324	884
325	1955
325,000	660
326	1080
327	740
328	950
329	1070
32bn	736
32nd	2742
32p	653
33	48096
33,000	2038
33-year	5164
330	3181
330,000	1001
330p	529
331	822
332	912
333	9712
334	781
335	1114
3353	25768
336	774
337	679
338	915
339	815
33bn	666
33p	546
33rd	2810
34	43286
34,000	1500
34-year	5901
34.99	503
340	2908
340,000	752
341	643
342	914
343	874
344	664
345	1244
346	818
347	669
348	616
349	939
34bn	766
34p	529
34th	2784
35	76149
35,000	6907
35-hour	773
35-year	5609
350	15710
350,000	4301
350.org	571
351	774
352	655
353	1896
354	770
355	1031
356	657
357	668
358	673
359	681
35bn	1579
35p	1116
35th	2901
36	44409
36,000	2056
36-year	3793
360	9373
360,000	818
360-degree	1257
361	622
362	696
363	666
364	859
365	2728
366	739
367	652
368	675
369	610
36bn	588
36p	529
36th	2583
37	37949
37,000	1659
37-year	3720
37.5	622
370	2437
370,000	608
371	600
372	638
373	624
374	648
375	1981
375,000	649
376	645
377	743
378	693
